CMDLINE c:\users\harry\.virtualenvs\asteroids-master-ovjyosp_\scripts\python.exe evolution.py
MEM 0.566406 1545266294.9599
MEM 13.878906 1545266295.0679
MEM 24.332031 1545266295.1761
MEM 44.191406 1545266295.2872
MEM 49.652344 1545266295.3979
MEM 60.214844 1545266295.5058
MEM 65.449219 1545266295.6092
MEM 66.035156 1545266295.7209
MEM 71.082031 1545266295.8234
MEM 75.054688 1545266295.9285
MEM 81.648438 1545266296.0371
MEM 87.031250 1545266296.1422
MEM 96.386719 1545266296.2499
MEM 103.320312 1545266296.3525
MEM 105.718750 1545266296.4604
MEM 109.785156 1545266296.5674
MEM 113.226562 1545266296.6721
MEM 113.988281 1545266296.7749
MEM 114.117188 1545266296.8815
MEM 114.714844 1545266296.9850
MEM 118.542969 1545266297.0935
MEM 119.093750 1545266297.2000
MEM 119.093750 1545266297.3072
MEM 119.093750 1545266297.4128
MEM 119.093750 1545266297.5208
MEM 119.093750 1545266297.6301
MEM 119.093750 1545266297.7350
MEM 119.093750 1545266297.8426
MEM 119.093750 1545266297.9491
MEM 119.093750 1545266298.0587
MEM 119.093750 1545266298.1650
MEM 119.093750 1545266298.2706
MEM 119.093750 1545266298.3793
MEM 119.093750 1545266298.4849
MEM 119.093750 1545266298.5921
MEM 119.093750 1545266298.7002
MEM 119.093750 1545266298.8079
MEM 119.093750 1545266298.9151
MEM 119.093750 1545266299.0244
MEM 119.093750 1545266299.1343
MEM 119.093750 1545266299.2438
MEM 119.093750 1545266299.3515
MEM 119.093750 1545266299.4611
MEM 119.093750 1545266299.5686
MEM 119.093750 1545266299.6755
MEM 119.093750 1545266299.7837
MEM 119.093750 1545266299.8925
MEM 119.093750 1545266300.0003
MEM 119.093750 1545266300.1082
MEM 119.093750 1545266300.2148
MEM 119.093750 1545266300.3182
MEM 119.093750 1545266300.4261
MEM 119.093750 1545266300.5342
MEM 119.093750 1545266300.6421
MEM 119.093750 1545266300.7478
MEM 119.093750 1545266300.8542
MEM 119.093750 1545266300.9599
MEM 119.093750 1545266301.0678
MEM 119.093750 1545266301.1737
MEM 119.093750 1545266301.2828
MEM 119.093750 1545266301.3891
MEM 119.093750 1545266301.4949
MEM 119.093750 1545266301.6022
MEM 119.093750 1545266301.7120
MEM 119.218750 1545266301.8184
MEM 119.371094 1545266301.9231
MEM 119.519531 1545266302.0274
MEM 120.343750 1545266302.1366
MEM 121.027344 1545266302.2467
MEM 121.027344 1545266302.3556
MEM 121.027344 1545266302.4618
MEM 121.027344 1545266302.5697
MEM 121.027344 1545266302.6765
MEM 121.027344 1545266302.7862
MEM 121.027344 1545266302.8964
MEM 121.027344 1545266303.0051
MEM 121.027344 1545266303.1140
MEM 121.027344 1545266303.2207
MEM 121.027344 1545266303.3269
MEM 121.027344 1545266303.4342
MEM 121.027344 1545266303.5415
MEM 121.027344 1545266303.6487
MEM 121.027344 1545266303.7575
MEM 121.027344 1545266303.8641
MEM 121.027344 1545266303.9723
MEM 121.027344 1545266304.0786
MEM 121.027344 1545266304.1846
MEM 121.027344 1545266304.2927
MEM 121.027344 1545266304.4016
MEM 121.027344 1545266304.5093
MEM 121.027344 1545266304.6185
MEM 121.027344 1545266304.7247
MEM 121.027344 1545266304.8310
MEM 121.027344 1545266304.9367
MEM 121.027344 1545266305.0432
MEM 121.027344 1545266305.1506
MEM 121.027344 1545266305.2565
MEM 121.027344 1545266305.3646
MEM 121.027344 1545266305.4748
MEM 121.027344 1545266305.5811
MEM 121.027344 1545266305.6884
MEM 121.027344 1545266305.7976
MEM 121.027344 1545266305.9045
MEM 121.027344 1545266306.0103
MEM 121.027344 1545266306.1196
MEM 121.027344 1545266306.2276
MEM 121.027344 1545266306.3357
MEM 121.027344 1545266306.4432
MEM 121.027344 1545266306.5529
MEM 121.027344 1545266306.6619
MEM 121.027344 1545266306.7708
MEM 121.027344 1545266306.8807
MEM 121.214844 1545266306.9874
MEM 121.320312 1545266307.0965
MEM 121.464844 1545266307.2040
MEM 122.992188 1545266307.3116
MEM 123.378906 1545266307.4200
MEM 123.378906 1545266307.5268
MEM 123.378906 1545266307.6328
MEM 123.378906 1545266307.7421
MEM 123.382812 1545266307.8501
MEM 123.378906 1545266307.9534
MEM 123.378906 1545266308.0621
MEM 123.378906 1545266308.1693
MEM 123.378906 1545266308.2779
MEM 123.378906 1545266308.3850
MEM 123.378906 1545266308.4974
MEM 123.378906 1545266308.6052
MEM 123.378906 1545266308.7121
MEM 123.378906 1545266308.8206
MEM 123.378906 1545266308.9275
MEM 123.382812 1545266309.0374
MEM 123.382812 1545266309.1458
MEM 123.378906 1545266309.2540
MEM 123.378906 1545266309.3604
MEM 123.378906 1545266309.4664
MEM 123.378906 1545266309.5741
MEM 123.378906 1545266309.6834
MEM 123.378906 1545266309.7934
MEM 123.378906 1545266309.9022
MEM 123.378906 1545266310.0089
MEM 123.378906 1545266310.1141
MEM 123.378906 1545266310.2236
MEM 123.378906 1545266310.3315
MEM 123.378906 1545266310.4399
MEM 123.378906 1545266310.5501
MEM 123.378906 1545266310.6600
MEM 123.378906 1545266310.7691
MEM 123.378906 1545266310.8761
MEM 123.378906 1545266310.9841
MEM 123.378906 1545266311.0946
MEM 123.378906 1545266311.2009
MEM 123.378906 1545266311.3095
MEM 123.378906 1545266311.4172
MEM 123.378906 1545266311.5223
MEM 123.378906 1545266311.6284
MEM 123.378906 1545266311.7348
MEM 123.382812 1545266311.8407
MEM 123.382812 1545266311.9486
MEM 123.378906 1545266312.0518
MEM 123.378906 1545266312.1582
MEM 123.378906 1545266312.2652
MEM 123.378906 1545266312.3740
MEM 123.378906 1545266312.4771
MEM 123.378906 1545266312.5857
MEM 123.378906 1545266312.6945
MEM 123.378906 1545266312.8014
MEM 123.378906 1545266312.9068
MEM 123.566406 1545266313.0158
MEM 123.683594 1545266313.1245
MEM 123.832031 1545266313.2299
